resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n128,12,0.4770189451012465,0.47601249098013976,0.4809943531588072,Z-norm2,0.0032617292190123817,0.0032217243750939316,0.987735081230758,-0.005359521189000294,179,7
n256,12,0.4770189451012465,0.47519128922449405,0.47768056252029295,C-norm2,0.00018879023698230676,0.00018598483460029538,0.9851401087955926,-0.006501998792149966,179,7
n256,12,0.4770189451012465,0.47519128922449405,0.47768056252029295,H-norm2,9.766072243328e-05,9.445311753613771e-05,0.9671556300504159,-0.014503635706294205,179,7
n256,12,0.4770189451012465,0.47519128922449405,0.47768056252029295,M-norm2,3.3257082000132145e-05,3.4026593912813836e-05,1.023138287137718,0.0099343368225977,179,7
n256,12,0.4770189451012465,0.47519128922449405,0.47768056252029295,Z-norm2,1.3098230684981228e-05,1.2996080962782982e-05,0.9922012579672022,-0.0034002266771082645,179,7
n512,12,0.4770189451012465,0.47621055299737236,0.4773127330091997,C-norm2,5.687792299597902e-06,5.7040255335849255e-06,1.002854048307666,0.0012377319966239142,179,7
n512,12,0.4770189451012465,0.47621055299737236,0.4773127330091997,H-norm2,3.7161745845286974e-06,3.728234075130938e-06,1.0032451356436394,0.0014070626812348053,179,7
n512,12,0.4770189451012465,0.47621055299737236,0.4773127330091997,M-norm2,1.2657825240934414e-06,1.267329891164061e-06,1.001222458867275,0.0005305828985617822,179,7
n512,12,0.4770189451012465,0.47621055299737236,0.4773127330091997,Z-norm2,1.7037097674837034e-07,1.7100653156170546e-07,1.0037304171488892,0.001617085253471373,179,7
n128,13,0.6635423007049007,0.659802353523452,0.6649372510710574,C-norm2,0.029702180989435382,0.02976361046457675,1.002068180621592,0.0008972718908681898,176,7
n128,13,0.6635423007049007,0.659802353523452,0.6649372510710574,H-norm2,0.013448259093454231,0.01366324991696707,1.015986517066546,0.006887944559659687,176,7
n128,13,0.6635423007049007,0.659802353523452,0.6649372510710574,M-norm2,0.008178378883489193,0.00813089821194271,0.9941943663624658,-0.0025287021350863803,176,7
n128,13,0.6635423007049007,0.659802353523452,0.6649372510710574,Z-norm2,0.001616912006012412,0.0015882130081622326,0.982250736129447,-0.007777637042155394,176,7
n256,13,0.6635423007049007,0.6617249190816555,0.6642392801999908,C-norm2,0.00016654507392146114,0.0001656495235679109,0.9946227748893217,-0.0023416005074583524,176,7
n256,13,0.6635423007049007,0.6617249190816555,0.6642392801999908,H-norm2,9.774515827516964e-05,9.684697196970578e-05,0.9908109381445237,-0.00400920762759327,176,7
n256,13,0.6635423007049007,0.6617249190816555,0.6642392801999908,M-norm2,3.1402981382687336e-05,3.161204528031929e-05,1.006657453796639,0.0028817136180263603,176,7
n256,13,0.6635423007049007,0.6617249190816555,0.6642392801999908,Z-norm2,7.367381847130839e-06,7.309978812805837e-06,0.99220848932279,-0.003397061466059448,176,7
n512,13,0.6635423007049007,0.662727640939891,0.6637780369865384,C-norm2,8.073473670586499e-06,8.086600119212792e-06,1.0016258737145718,0.0007055345827389203,176,7
n512,13,0.6635423007049007,0.662727640939891,0.6637780369865384,H-norm2,4.9396831565514276e-06,4.943889568398644e-06,1.0008515549912624,0.00036966825964590555,176,7
n512,13,0.6635423007049007,0.662727640939891,0.6637780369865384,M-norm2,1.7323026842370683e-06,1.7356358698204289e-06,1.0019241357839428,0.0008348386392702523,176,7
n512,13,0.6635423007049007,0.662727640939891,0.6637780369865384,Z-norm2,3.410782124908227e-07,3.4246017243125994e-07,1.0040517391314592,0.0017560927296553785,176,7
n128,14,0.7273029816307511,0.7269840405024918,0.7306431112615627,C-norm2,0.03163977300799214,0.03177535335255163,1.004285123806838,0.0018570296581201795,173,7
n128,14,0.7273029816307511,0.7269840405024918,0.7306431112615627,H-norm2,0.01704485407929767,0.017245183319646595,1.0117530627963685,0.00507452776936046,173,7
n128,14,0.7273029816307511,0.7269840405024918,0.7306431112615627,M-norm2,0.007358767170247821,0.00730758390003457,0.9930445862698049,-0.003031251870942775,173,7
n128,14,0.7273029816307511,0.7269840405024918,0.7306431112615627,Z-norm2,0.0013881842227752125,0.0013842528161513003,0.997167950363207,-0.0012316884555549912,173,7
n256,14,0.7273029816307511,0.7262352536571256,0.7287268014391217,C-norm2,0.0001548754616595923,0.00015496296644013546,1.0005650009343345,0.0002453074950938827,173,7
n256,14,0.7273029816307511,0.7262352536571256,0.7287268014391217,H-norm2,8.700239822589851e-05,8.724392264631893e-05,1.002776066238925,0.0012039598848945232,173,7
n256,14,0.7273029816307511,0.7262352536571256,0.7287268014391217,M-norm2,3.37612825465771e-05,3.366000522930392e-05,0.9970001934276798,-0.0013047574310061094,173,7
n256,14,0.7273029816307511,0.7262352536571256,0.7287268014391217,Z-norm2,6.438152579746592e-06,6.422007040956369e-06,0.9974922093581604,-0.001090487567003251,173,7
n512,14,0.7273029816307511,0.7271891720136816,0.7282429809246196,C-norm2,9.048783744207322e-06,9.066051549734981e-06,1.0019083012718382,0.0008279749503676825,173,7
n512,14,0.7273029816307511,0.7271891720136816,0.7282429809246196,H-norm2,5.372409902658559e-06,5.3804426934772725e-06,1.0014951932120328,0.0006488691897548193,173,7
n512,14,0.7273029816307511,0.7271891720136816,0.7282429809246196,M-norm2,1.8916964528190405e-06,1.893968716815134e-06,1.0012011779124008,0.0005213518836040265,173,7
n512,14,0.7273029816307511,0.7271891720136816,0.7282429809246196,Z-norm2,4.360650611100256e-07,4.3779412713534845e-07,1.0039651560730902,0.0017186403112123827,173,7
n128,15,1.115366900326174,1.1108047547148665,1.1169527619844268,C-norm2,0.034155059313713855,0.03454269659116283,1.0113493369719704,0.004901194081371685,170,7
n128,15,1.115366900326174,1.1108047547148665,1.1169527619844268,H-norm2,0.01706875052789284,0.017307040014821255,1.013960570021749,0.006021066876087167,170,7
n128,15,1.115366900326174,1.1108047547148665,1.1169527619844268,M-norm2,0.006080905204872444,0.006018093510713806,0.9896706671058926,-0.004509301618225603,170,7
n128,15,1.115366900326174,1.1108047547148665,1.1169527619844268,Z-norm2,0.0023848473784732586,0.002441475083192486,1.0237447919017273,0.010191705387186278,170,7
