# PC-GH Gauge A0 M=1; derivatives are d/d(log(r/M))
# log_r A dx_A chi dx_chi beta_r dx_beta_r K dx_K At_radial dx_At_radial h_perp dx_h_perp h_radial dx_h_radial
-1.80564045866622926e+01 3.68575268264338395e-18 8.04450245008074803e-18 1.20300745599529522e-16 2.40601490737144745e-16 7.93898519891678488e-09 7.93898516150875433e-09 3.00936505722572023e-01 -1.95037043565531495e-09 -1.35362578471888861e+00 5.84583671900424041e-09 6.01873010867396641e-01 -4.53123538963248706e-09 -4.37851515753556492e-09 -4.37851509370738146e-09
-1.80496587318976616e+01 3.74042214467723080e-18 8.16382370106606134e-18 1.21934806664025500e-16 2.43869612856402996e-16 7.99272148460322377e-09 7.99272144666371148e-09 3.00936505709366475e-01 -1.96485340105085205e-09 -1.35362578467930761e+00 5.88903104093911134e-09 6.01873010836716626e-01 -4.56486004621426059e-09 -4.40815183441019575e-09 -4.40815176967547362e-09
-1.80429128771330305e+01 3.79590071792747244e-18 8.28491091350068890e-18 1.23591063397769719e-16 2.47182126313952724e-16 8.04682149289550639e-09 8.04682145441697012e-09 3.00936505696062895e-01 -1.97929050331312579e-09 -1.35362578463943484e+00 5.93252807230623401e-09 6.01873010805809017e-01 -4.59842159932328150e-09 -4.43798911184698787e-09 -4.43798904619351128e-09
-1.80361670223683994e+01 3.85220318665103553e-18 8.40779635541804806e-18 1.25269817287495610e-16 2.50539634083256302e-16 8.10128768570798159e-09 8.10128764668275669e-09 3.00936505682662059e-01 -1.99390723196825565e-09 -1.35362578459926675e+00 5.97643304343131900e-09 6.01873010774675143e-01 -4.63238986928884016e-09 -4.46802834764270629e-09 -4.46802828105619478e-09
-1.80294211676037683e+01 3.90934101968981536e-18 8.53250505864589851e-18 1.26971373915071086e-16 2.53942747328045223e-16 8.15612254161884612e-09 8.15612250203916702e-09 3.00936505669161414e-01 -2.00864129524582389e-09 -1.35362578455880200e+00 6.02057598300895529e-09 6.01873010743309567e-01 -4.66662119725363270e-09 -4.49827090878458396e-09 -4.49827084125275639e-09
-1.80226753128391373e+01 3.96732602469222079e-18 8.65906279448913858e-18 1.28696043013123276e-16 2.57392085513569203e-16 8.21132855598296053e-09 8.21132851584094916e-09 3.00936505655561848e-01 -2.02346699713509688e-09 -1.35362578451803817e+00 6.06503781027219654e-09 6.01873010711713952e-01 -4.70107227761873438e-09 -4.52871817151253074e-09 -4.52871810302174027e-09
-1.80159294580745062e+01 4.02617071024892789e-18 8.78749686412519596e-18 1.30444138521418875e-16 2.60888276519357049e-16 8.26690824104537965e-09 8.26690820033305041e-09 3.00936505641860808e-01 -2.03854941344942279e-09 -1.35362578447697368e+00 6.10976356672681921e-09 6.01873010679882858e-01 -4.73605999163713895e-09 -4.55937152138174182e-09 -4.55937145191841691e-09
-1.80091836033098751e+01 4.08588812987120586e-18 8.91783575807201258e-18 1.32215978644010193e-16 2.64431956753508747e-16 8.32286412605569878e-09 8.32286408476494695e-09 3.00936505628058737e-01 -2.05345143121129779e-09 -1.35362578443560588e+00 6.15499091424923651e-09 6.01873010647817064e-01 -4.77075510842609419e-09 -4.59023235332577282e-09 -4.59023228287548909e-09
-1.80024377485452440e+01 4.14649295421240050e-18 9.05011149641248465e-18 1.34011885907157587e-16 2.68023771268539983e-16 8.37919875738313103e-09 8.37919871550572948e-09 3.00936505614155636e-01 -2.06862083449277154e-09 -1.35362578439393166e+00 6.20051539375604678e-09 6.01873010615516013e-01 -4.80598523334697616e-09 -4.62130207171999436e-09 -4.62130200026916123e-09
-1.79956918937806130e+01 4.20799464733226703e-18 9.18434473534845620e-18 1.35832187218038636e-16 2.71664373878801325e-16 8.43591469863240030e-09 8.43591465616002758e-09 3.00936505600149062e-01 -2.08398731270662944e-09 -1.35362578435194991e+00 6.24622594977642156e-09 6.01873010582975154e-01 -4.84163910701882723e-09 -4.65258209044553652e-09 -4.65258201798081240e-09
