resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,interface_layer_3,gyz,27,8.095262755863643e-09,2.3692067909527464e-08,
16,4,interface_layer_3,gzz,27,8.120826290144717e-09,2.326924698000006e-08,
16,4,interface_layer_4,Axx,27,0.0,0.0,
16,4,interface_layer_4,Axy,27,0.0,0.0,
16,4,interface_layer_4,Axz,27,0.0,0.0,
16,4,interface_layer_4,Ayy,27,0.0,0.0,
16,4,interface_layer_4,Ayz,27,0.0,0.0,
16,4,interface_layer_4,Azz,27,0.0,0.0,
16,4,interface_layer_4,Bx,27,0.0,0.0,
16,4,interface_layer_4,By,27,0.0,0.0,
16,4,interface_layer_4,Bz,27,0.0,0.0,
16,4,interface_layer_4,Gamx,27,0.0,0.0,
16,4,interface_layer_4,Gamy,27,0.0,0.0,
16,4,interface_layer_4,Gamz,27,0.0,0.0,
16,4,interface_layer_4,Khat,27,0.0,0.0,
16,4,interface_layer_4,Theta,27,0.0,0.0,
16,4,interface_layer_4,alpha,27,0.0,0.0,
16,4,interface_layer_4,betax,27,0.0,0.0,
16,4,interface_layer_4,betay,27,0.0,0.0,
16,4,interface_layer_4,betaz,27,0.0,0.0,
16,4,interface_layer_4,chi,27,0.0,0.0,
16,4,interface_layer_4,gxx,27,0.0,0.0,
16,4,interface_layer_4,gxy,27,0.0,0.0,
16,4,interface_layer_4,gxz,27,0.0,0.0,
16,4,interface_layer_4,gyy,27,0.0,0.0,
16,4,interface_layer_4,gyz,27,0.0,0.0,
16,4,interface_layer_4,gzz,27,0.0,0.0,
16,6,all,Axx,405,8.576572525129691e-05,0.0005440221337015883,
16,6,all,Axy,405,0.00012320473788037962,0.0007768267458271457,
16,6,all,Axz,405,0.00010286631023485255,0.0008689798566359807,
16,6,all,Ayy,405,0.00013027228590335618,0.000844959313062419,
16,6,all,Ayz,405,0.00010009963263656335,0.0008944396915836414,
16,6,all,Azz,405,8.663999083290464e-05,0.0007481993423017353,
16,6,all,Bx,405,3.3511669442752605e-08,2.781659846054236e-07,
16,6,all,By,405,3.318219751218757e-08,2.69305297409231e-07,
16,6,all,Bz,405,3.29751589661445e-08,2.51341532025585e-07,
16,6,all,Gamx,405,0.00022477244034825892,0.0018597017278340466,
16,6,all,Gamy,405,0.0002518195271685817,0.0022087173168885386,
16,6,all,Gamz,405,0.00020277013429890762,0.0018441369039873291,
16,6,all,Khat,405,0.00020690714639093593,0.0014878501424625528,
16,6,all,Theta,405,0.0001314125697349872,0.0011823277760711348,
16,6,all,alpha,405,3.494598563172475e-08,2.351787184906584e-07,
16,6,all,betax,405,3.46774264170467e-08,2.6458999325868184e-07,
16,6,all,betay,405,3.431662665255444e-08,2.8207560514407606e-07,
16,6,all,betaz,405,3.390955019246204e-08,2.8665028372356096e-07,
16,6,all,chi,405,2.5516724503346685e-06,1.4831564601182085e-05,
16,6,all,gxx,405,3.5490463241158027e-06,2.2116155736338135e-05,
16,6,all,gxy,405,3.480223765954979e-06,2.50442901507217e-05,
