resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n256,2.5002524330555738,1.5399355241846155,shell_0_4,C,1.7480992288982187e-06,1080.958589476397,3.923953331568344e-08,0.0003761960175637576,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_0_4,H,4.631602979569767e-07,1080.958589476397,2.5141225306462994e-08,0.00027511961525306106,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_0_4,M,2.016962042498944e-07,1080.958589476397,5.177149583664743e-09,0.00014011179550657476,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_0_4,Z,2.459495954199168e-07,1080.958589476397,2.13097674081092e-09,0.00010333365563292596,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_4_8,C,0.00012770711579561598,5788.810824068279,4.879281495361865e-07,0.0009799661405439635,4.6875,-0.125,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,shell_4_8,H,3.444822674114e-05,5788.810824068279,2.7228987953972394e-07,0.0007483375957235694,4.6875,-0.125,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,shell_4_8,M,2.785623135152847e-05,5788.810824068279,2.711818289169578e-07,0.0007185821668352381,7.9375,-0.5,7.9375,-0.5
n256,2.5002524330555738,1.5399355241846155,shell_4_8,Z,1.4388489086002051e-05,5788.810824068279,3.053364774479147e-08,0.00024039144399947058,7.875,-0.0625,7.875,0.0
n256,2.5002524330555738,1.5399355241846155,shell_8_12,C,5.800087571925283e-05,10673.785902783988,1.3174292691038141e-06,0.0012194496663260454,8.25,-0.125,8.0,-0.875
n256,2.5002524330555738,1.5399355241846155,shell_8_12,H,1.2827722577181684e-05,10673.785902783988,4.611092413199689e-07,0.0006745366263203323,8.0,-1.5,8.0,-1.5
n256,2.5002524330555738,1.5399355241846155,shell_8_12,M,1.7535387842275383e-05,10673.785902783988,9.014205751502517e-07,0.0011165616289926321,8.0,-0.875,8.0,-0.8125
n256,2.5002524330555738,1.5399355241846155,shell_8_12,Z,6.646672989915867e-06,10673.785902783988,3.1169204131307566e-07,0.0003881377215284466,8.25,-0.125,8.25,0.0
