resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,1.011844081974866,0.623172124422098,shell_16_32,M,8.807703160837254e-15,164090.30790258342,1.709376522511573e-16,4.050014934541861e-09,16.5,-0.25,16.5,-0.25,3.5921882367807645e-12
n128,1.011844081974866,0.623172124422098,shell_16_32,Z,3.6546970235358417e-16,164090.30790258342,7.999652720638573e-18,7.009590783314482e-10,24.0,0.5,16.0,-0.25,3.5048458014430227e-13
n128,1.011844081974866,0.623172124422098,shell_32_64,C,1.838747253138762e-13,1123913.7159575645,2.608513407817122e-15,6.475501873761236e-09,32.5,-1.0,32.5,0.0,1.0743535649539322e-11
n128,1.011844081974866,0.623172124422098,shell_32_64,H,1.8127250809151854e-13,1123913.7159575645,2.5924315637040036e-15,6.455727508125619e-09,32.5,-1.0,32.5,0.0,2.0123539727187603e-11
n128,1.011844081974866,0.623172124422098,shell_32_64,M,7.967876064424241e-16,1123913.7159575645,7.623227747541575e-18,5.214687232398189e-10,32.5,-1.0,0.5,-32.5,3.2496679495305533e-13
n128,1.011844081974866,0.623172124422098,shell_32_64,Z,2.8612271628424214e-17,1123913.7159575645,1.7777412964966462e-19,8.669442305467558e-11,32.0,0.5,24.0,-23.75,2.743910081761295e-14
n128,1.011844081974866,0.623172124422098,shell_64_120,C,2.5778288452229692e-14,6664779.820913052,2.0902162244660065e-16,9.030075601764875e-10,66.0,1.0,0.0,-65.0,1.506188305640598e-12
n128,1.011844081974866,0.623172124422098,shell_64_120,H,2.1752759103415336e-14,6664779.820913052,1.7860727013087666e-16,8.519100425097292e-10,66.0,1.0,0.0,-65.0,2.414831220697396e-12
n128,1.011844081974866,0.623172124422098,shell_64_120,M,3.335874704956037e-16,6664779.820913052,7.487349752036223e-18,1.5613551376703606e-10,120.0,0.0,64.0,-2.0,1.3605238114517106e-13
n128,1.011844081974866,0.623172124422098,shell_64_120,Z,1.4617366555324607e-18,6664779.820913052,8.821954592196152e-21,9.223178626362323e-12,64.0,1.0,2.0,-64.0,1.4018019953407138e-15
n128,1.011844081974866,0.623172124422098,shell_gt_120,C,1.5237459754040443e-08,6302914.709369301,3.626163079034333e-10,4.608736444797712e-07,128.0,-2.0,128.0,0.0,8.903028504679439e-07
n128,1.011844081974866,0.623172124422098,shell_gt_120,H,1.509693064246709e-08,6302914.709369301,3.6117567511358276e-10,4.599579881414684e-07,128.0,-2.0,128.0,0.0,1.6759501302254934e-06
n128,1.011844081974866,0.623172124422098,shell_gt_120,M,4.454621966420103e-11,6302914.709369301,6.607667700267887e-13,1.9665544599022894e-08,128.0,-2.0,128.0,0.0,1.8168006272316705e-08
n128,1.011844081974866,0.623172124422098,shell_gt_120,Z,1.0570797009667203e-11,6302914.709369301,1.2551501087360696e-13,8.568337952435347e-09,128.0,-2.0,128.0,0.0,1.0137369330110551e-08
n128,1.2533585964443617,0.7719172335654273,shell_0_4,C,0.0001529230682846374,1098.8372124027474,5.07669854059298e-06,0.0023562514343220494,3.875,-0.125,4.0,0.0,0.00920161679236118
n128,1.2533585964443617,0.7719172335654273,shell_0_4,H,1.3876843511455573e-05,1098.8372124027474,1.0634681455582835e-06,0.0007957201451063156,3.875,-0.75,3.875,-0.75,0.0024388123560272422
n128,1.2533585964443617,0.7719172335654273,shell_0_4,M,1.978692303930022e-05,1098.8372124027474,1.0057618218307543e-06,0.0009337402719601647,3.875,-0.125,3.875,0.0,0.009477337944508123
n128,1.2533585964443617,0.7719172335654273,shell_0_4,Z,2.5860787941965296e-05,1098.8372124027474,6.315890880771212e-07,0.0009829632257063584,3.875,-0.125,4.0,0.0,0.013302117094445065
n128,1.2533585964443617,0.7719172335654273,shell_4_8,C,0.016457492298556132,5779.903330963231,0.0003421457532951728,0.011493625887613417,4.875,-0.125,4.875,-0.125,0.9902726854308223
n128,1.2533585964443617,0.7719172335654273,shell_4_8,H,0.005674879367832702,5779.903330963231,0.00020927634309641965,0.008989003486931324,4.875,-0.125,4.875,-0.125,0.9973425087491495
n128,1.2533585964443617,0.7719172335654273,shell_4_8,M,0.0020677932381334505,5779.903330963231,6.638538464479446e-05,0.005146479569019828,4.875,-0.125,5.125,0.0,0.9904104482660656
n128,1.2533585964443617,0.7719172335654273,shell_4_8,Z,0.0019167711657921951,5779.903330963231,4.1596940199638446e-05,0.003906742172974702,5.5,-0.125,5.5,-0.125,0.9859372633131803
n128,1.2533585964443617,0.7719172335654273,shell_8_12,C,8.721039705267972e-06,10642.603261289752,6.649912053080497e-07,0.0003939544726591428,8.0,-0.25,8.0,-0.25,0.0005247584049875097
n128,1.2533585964443617,0.7719172335654273,shell_8_12,H,1.2288917710397524e-06,10642.603261289752,5.8016493979181174e-08,0.00012398271064739674,8.0,-0.25,8.0,-0.125,0.00021597393045167973
n128,1.2533585964443617,0.7719172335654273,shell_8_12,M,2.3422970540938904e-07,10642.603261289752,1.5487349306894298e-08,5.450466315848687e-05,8.25,-0.25,8.0,-0.875,0.00011218894774080397
n128,1.2533585964443617,0.7719172335654273,shell_8_12,Z,1.4787074296241105e-06,10642.603261289752,1.2570098169776703e-07,0.00017128030174181792,8.0,-0.25,8.0,-0.25,0.0007606086644160844
n128,1.2533585964443617,0.7719172335654273,shell_12_16,C,7.015434649896397e-14,17082.208609544243,4.635024971459071e-15,2.2296704075316094e-08,15.5,-0.5,15.5,0.0,4.221295191386385e-12
n128,1.2533585964443617,0.7719172335654273,shell_12_16,H,5.595703311661946e-14,17082.208609544243,4.496927903728577e-15,2.1959998264264868e-08,15.5,-0.5,15.5,0.0,9.834275615977067e-12
