diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.10,4.0012730729041035,2.464931723388596,R12,C,0.00025258324143301964,17461.988099762228,5.229336592869064e-07,0.0010309480713205465,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,R12,H,9.969294779451406e-05,17461.988099762228,3.55603353933929e-07,0.0008509342442266643,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,R12,M,6.42365693044562e-05,17461.988099762228,2.3103526827434396e-07,0.0006564611286136598,7.3125,-1.1875,7.3125,-1.1875
0.10,4.0012730729041035,2.464931723388596,R12,Z,1.88846720741324e-05,17461.988099762228,4.2338255309069005e-08,0.00027498175063040054,7.125,-0.0625,7.125,0.0
0.10,4.0012730729041035,2.464931723388596,full,C,0.0005493082767649525,47663.45602571933,5.229336592869064e-07,0.0010309480713205465,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,full,H,0.00013652044709948146,47663.45602571933,3.55603353933929e-07,0.0008509342442266643,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,full,M,7.661759615014131e-05,47663.45602571933,2.3103526827434396e-07,0.0006564611286136598,7.3125,-1.1875,7.3125,-1.1875
0.10,4.0012730729041035,2.464931723388596,full,Z,8.070558840478973e-05,47663.45602571933,4.2338255309069005e-08,0.00027498175063040054,7.125,-0.0625,7.125,0.0
0.10,4.25115606561173,2.6189365612570557,R4,C,2.4697381900071626e-05,1069.8485893572226,2.857855507438137e-07,0.0008192822492704417,3.75,-0.0625,3.75,0.0
0.10,4.25115606561173,2.6189365612570557,R4,H,1.3828174699723538e-05,1069.8485893572226,2.2867166745251074e-07,0.0007331343949772418,3.75,-0.0625,3.75,0.0
0.10,4.25115606561173,2.6189365612570557,R4,M,4.506508713669237e-06,1069.8485893572226,5.4236032255557054e-08,0.00035659394215605694,3.75,-0.0625,3.75,0.0
0.10,4.25115606561173,2.6189365612570557,R4,Z,1.3073454843192742e-06,1069.8485893572226,9.249317993165621e-09,0.00016552745364328006,3.5,-0.0625,4.0,0.0
0.10,4.25115606561173,2.6189365612570557,R8,C,0.00022786023384279566,6789.419200916297,5.27112257408502e-07,0.0010440208835267293,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,R8,H,9.232276118817188e-05,6789.419200916297,3.642919138710631e-07,0.0008684043423272669,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,R8,M,5.70190486879524e-05,6789.419200916297,2.2598478898117125e-07,0.00064872619808552,7.1875,-1.1875,7.1875,-1.25
0.10,4.25115606561173,2.6189365612570557,R8,Z,1.612093084610709e-05,6789.419200916297,3.091229879948848e-08,0.00023433133817440927,6.875,-0.0625,6.875,0.0
0.10,4.25115606561173,2.6189365612570557,R12,C,0.00025796663842397297,17444.91920216194,5.27112257408502e-07,0.0010440208835267293,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,R12,H,0.00010520425251426829,17444.91920216194,3.642919138710631e-07,0.0008684043423272669,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,R12,M,6.501429547353945e-05,17444.91920216194,2.2598478898117125e-07,0.00064872619808552,7.1875,-1.1875,7.1875,-1.25
0.10,4.25115606561173,2.6189365612570557,R12,Z,1.8221415977665312e-05,17444.91920216194,3.091404924048634e-08,0.00023433133817440927,9.25,-0.125,6.875,0.0
0.10,4.25115606561173,2.6189365612570557,full,C,0.0006101438874682839,47647.21132847818,5.27112257408502e-07,0.0010440208835267293,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,full,H,0.0001458481847199844,47647.21132847818,3.642919138710631e-07,0.0008684043423272669,4.125,-0.0625,4.125,0.0
0.10,4.25115606561173,2.6189365612570557,full,M,7.8622023132354e-05,47647.21132847818,2.2598478898117125e-07,0.00064872619808552,7.1875,-1.1875,7.1875,-1.25
0.10,4.25115606561173,2.6189365612570557,full,Z,9.26326610654292e-05,47647.21132847818,4.831620769985258e-08,0.00023433133817440927,15.875,-3.75,6.875,0.0
0.10,4.500069262753969,2.7722925656117368,R4,C,2.9797931922069112e-05,1068.841358503828,2.784227794782676e-07,0.0020025589290917226,3.6875,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R4,H,1.6711937534149855e-05,1068.841358503828,2.2284487575843757e-07,0.0020024210680276155,3.6875,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R4,M,5.262332752144886e-06,1068.841358503828,5.4881274593006286e-08,0.00040149090546118455,3.6875,-0.0625,4.0,0.0
0.10,4.500069262753969,2.7722925656117368,R4,Z,1.5716667740313397e-06,1068.841358503828,1.3813486480100356e-08,0.00018445776142936044,3.9375,-0.0625,4.0,0.0
0.10,4.500069262753969,2.7722925656117368,R8,C,0.00023565189174927533,6772.593149091638,5.067610206644906e-07,0.0020025589290917226,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R8,H,9.978377401939612e-05,6772.593149091638,3.544855208120208e-07,0.0020024210680276155,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R8,M,5.7743189361873044e-05,6772.593149091638,1.7436249573910677e-07,0.0005704108823905084,7.0625,-1.25,7.0625,-1.25
0.10,4.500069262753969,2.7722925656117368,R8,Z,1.5391549774624533e-05,6772.593149091638,2.5648548136097735e-08,0.0002145425203008657,7.0625,-0.0625,7.0625,0.0
0.10,4.500069262753969,2.7722925656117368,R12,C,0.00026321615451015156,17427.076951780582,5.067610206644906e-07,0.0020025589290917226,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R12,H,0.0001103994159500242,17427.076951780582,3.544855208120208e-07,0.0020024210680276155,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,R12,M,6.51624486332034e-05,17427.076951780582,1.7436249573910677e-07,0.0005704108823905084,7.0625,-1.25,7.0625,-1.25
0.10,4.500069262753969,2.7722925656117368,R12,Z,1.7564845795934314e-05,17427.076951780582,3.404215140101094e-08,0.0002145425203008657,9.375,-0.125,7.0625,0.0
0.10,4.500069262753969,2.7722925656117368,full,C,0.0006779817701378599,47630.2204363002,5.067610206644906e-07,0.0020025589290917226,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,full,H,0.000155202606027521,47630.2204363002,3.544855208120208e-07,0.0020024210680276155,4.0625,-0.0625,0.0,-0.5
0.10,4.500069262753969,2.7722925656117368,full,M,8.006063941938524e-05,47630.2204363002,1.7436249573910677e-07,0.0005704108823905084,7.0625,-1.25,7.0625,-1.25
0.10,4.500069262753969,2.7722925656117368,full,Z,0.0001062425928879065,47630.2204363002,5.543656164415591e-08,0.0002145425203008657,15.875,-3.875,7.0625,0.0
0.10,4.7548173599349735,2.929128597751108,R4,C,3.94954811219375e-05,1068.0665694231798,5.156365166269125e-07,0.002211707885292985,3.9375,-0.0625,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R4,H,2.3090913370977373e-05,1068.0665694231798,3.628270128689392e-07,0.002211556537076831,3.9375,-0.0625,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R4,M,6.894517459534651e-06,1068.0665694231798,8.468857745244164e-08,0.0004351091384626412,3.9375,-0.0625,4.0,0.0
0.10,4.7548173599349735,2.929128597751108,R4,Z,1.901459777050877e-06,1068.0665694231798,1.4631242558871017e-08,0.00017935573432641607,3.9375,-0.0625,3.875,0.0
0.10,4.7548173599349735,2.929128597751108,R8,C,0.0002478658509973325,6754.26447942621,7.697538398906951e-07,0.002211707885292985,5.25,0.0,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R8,H,0.00010693032743426107,6754.26447942621,3.628270128689392e-07,0.002211556537076831,3.9375,-0.0625,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R8,M,5.8383860612340486e-05,6754.26447942621,1.5802919095230148e-07,0.0005397770303655253,7.0625,-1.0625,7.0625,-1.0625
0.10,4.7548173599349735,2.929128597751108,R8,Z,1.572738895463554e-05,6754.26447942621,3.758841513689618e-08,0.00025891958567786556,6.9375,-0.0625,6.9375,0.0
0.10,4.7548173599349735,2.929128597751108,R12,C,0.00027352517630161154,17407.958071540168,7.697538398906951e-07,0.002211707885292985,5.25,0.0,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R12,H,0.00011587782018825012,17407.958071540168,3.628270128689392e-07,0.002211556537076831,3.9375,-0.0625,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,R12,M,6.518662922206345e-05,17407.958071540168,1.5802919095230148e-07,0.0005397770303655253,7.0625,-1.0625,7.0625,-1.0625
0.10,4.7548173599349735,2.929128597751108,R12,Z,1.7988604614502525e-05,17407.958071540168,3.758841513689618e-08,0.00025891958567786556,6.9375,-0.0625,6.9375,0.0
0.10,4.7548173599349735,2.929128597751108,full,C,0.0007605952827083549,47611.98472333048,7.697538398906951e-07,0.002211707885292985,5.25,0.0,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,full,H,0.00016534104468243096,47611.98472333048,3.628270128689392e-07,0.002211556537076831,3.9375,-0.0625,0.0,-1.0
0.10,4.7548173599349735,2.929128597751108,full,M,8.147218559171925e-05,47611.98472333048,1.5802919095230148e-07,0.0005397770303655253,7.0625,-1.0625,7.0625,-1.0625
0.10,4.7548173599349735,2.929128597751108,full,Z,0.00012320223336057396,47611.98472333048,6.364208208611118e-08,0.00025891958567786556,15.875,-4.125,6.9375,0.0
