prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_chi_gradient_norm,1.0031249999999987e+00,4.6874999999999998e-03,1.2915834166965978e-01,7.5316137767686572e-02,3.1672667235655531e-02,5.0502221745651133e-03,2.0133612822623151e-01,1.6316384031750431e+01,1.2800000000000000e+02,6.1589518738704219e-01,6.1781629829173201e-01,5.6317836724564482e-04,5.9071387987674805e-04,1.2148063176309587e-01
local_chi_gradient_norm,1.0218749999999985e+00,4.6874999999999998e-03,1.2693118586246271e-01,7.0878234631193471e-02,3.3322543428483099e-02,5.1557587531690444e-03,1.9733598237318697e-01,1.6541180704420960e+01,1.3200000000000000e+02,6.1589558562694480e-01,6.2936433675426962e-01,5.6309552159571389e-04,5.9070846195146494e-04,1.2108372459004690e-01
local_chi_gradient_norm,1.0406249999999984e+00,4.6874999999999998e-03,1.2640119929227508e-01,6.8461884849204735e-02,3.4585080016898063e-02,5.2784504674069305e-03,1.9313801800639499e-01,1.6706593575375937e+01,1.3600000000000000e+02,6.1589600778490239e-01,6.4091238290690433e-01,5.6300819992331579e-04,5.9070128171088520e-04,1.2068700193346951e-01
local_chi_gradient_norm,1.0593749999999982e+00,4.6874999999999998e-03,1.4322821215473031e-01,8.8350145062011484e-02,3.1330065999804230e-02,5.3489388563945015e-03,1.8905494003807069e-01,1.6813422200102671e+01,1.4000000000000000e+02,6.1589645462699583e-01,6.5246043720530289e-01,5.6291640967527732e-04,5.9069218073698059e-04,1.2024584210696014e-01
local_chi_gradient_norm,1.0968749999999978e+00,9.3749999999999997e-03,1.4374333070624939e-01,8.7914096340636169e-02,3.2057622720226386e-02,5.3663209486910579e-03,1.8147913622488537e-01,1.6858783973403987e+01,1.4400000000000000e+02,6.1589742536028891e-01,6.7555657214831133e-01,5.6271973779177650e-04,5.9066768820717887e-04,1.1954990662684274e-01
local_chi_gradient_norm,1.1343749999999975e+00,9.3749999999999997e-03,1.7462825412579169e-01,1.1506548380403306e-01,3.4482732910684905e-02,5.6890925411602891e-03,1.7310765469764200e-01,1.6698998752223837e+01,1.4800000000000000e+02,6.1589011802075977e-01,6.9865250953005709e-01,5.6267126930642573e-04,2.9533070004233769e-04,1.1858376379480837e-01
local_chi_gradient_norm,1.1718749999999971e+00,9.3749999999999997e-03,1.7214930117741917e-01,1.1164677925525730e-01,3.5238603446800298e-02,5.7407769137236258e-03,1.6454944627948556e-01,1.6362864521586221e+01,1.5200000000000000e+02,6.1589131409013520e-01,7.2174841107711663e-01,5.6234910733492303e-04,2.9531512884359442e-04,1.1807848392756060e-01
local_chi_gradient_norm,1.2093749999999968e+00,9.3749999999999997e-03,1.7148436179405685e-01,1.0937653179303916e-01,3.5906908997727555e-02,5.9872290229628471e-03,1.5762658810118133e-01,1.5882029018890405e+01,1.5600000000000000e+02,6.1589261404845708e-01,7.4484435942371519e-01,5.6220485898328149e-04,2.9526960109998383e-04,1.1766173679088626e-01
local_chi_gradient_norm,1.2468749999999964e+00,9.3749999999999997e-03,1.6768012984591008e-01,1.0408067628162559e-01,3.6469651342589046e-02,6.2278569904888337e-03,1.5025789711188015e-01,1.5326217577383838e+01,1.6000000000000000e+02,6.1589402137497284e-01,7.6794035851230624e-01,5.6231972450919866e-04,2.9524296076233907e-04,1.1689795000013301e-01
local_chi_gradient_norm,1.2843749999999960e+00,9.3749999999999997e-03,1.5736261636830373e-01,9.2726274360377892e-02,3.6897507606269628e-02,6.3821631994187954e-03,1.4402670547758376e-01,1.4665561324559887e+01,1.6400000000000000e+02,6.1589554577886241e-01,7.9103641253411461e-01,5.6220257341880694e-04,2.9524173820627780e-04,1.1591680491435577e-01
