case,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxRefLev,cycle,axisLapse,axisTau,axisKret,maxAbsKret,eta_shift,S_beta
fixed_eta2,6.365625000000036,0.009375,45.815562400237724,44.87711680432318,0.04824167864904008,0.16017520466561447,1.155236058729262,26.0,2.0,552.0,0.5927821390941853,3.9067966676345227,0.0016913299449380014,2.6626322911935465,2.0,0.01875
fixed_eta2,6.4031250000000375,0.009375,46.89639238461037,45.93413548887365,0.04869281267884058,0.16452840663172644,1.1714874029947298,26.0,2.0,556.0,0.5920144701763925,3.929011540584213,0.0018612856507584478,2.7438412734224524,2.0,0.01875
fixed_eta2,6.440625000000039,0.009375,47.985582701575574,46.999066949797225,0.04930607838802332,0.1689236103363454,1.1880910502260607,26.0,2.0,560.0,0.5912707475802257,3.951198061541425,0.002046831188658859,2.826663534487965,2.0,0.01875
fixed_eta2,6.47812500000004,0.009375,49.08280662823975,48.07164451741685,0.05004991922799515,0.17335176262186802,1.204960630933116,26.0,2.0,564.0,0.5905555879164199,3.973357214826607,0.002227126414123001,2.911105619056578,2.0,0.01875
fixed_eta2,6.515625000000042,0.009375,50.18795860534337,49.15186101635081,0.0508661977358201,0.17780125707224262,1.2220259395103361,26.0,2.0,568.0,0.5898736596579558,3.9954901590096985,0.0023825288129915596,2.997172959501662,2.0,0.01875
fixed_eta2,6.553125000000043,0.009375,51.30067998900559,50.23941723666293,0.051735381123198636,0.18226086538564207,1.239275602460908,26.0,2.0,572.0,0.5892296284846135,4.017598227841149,0.002505755259662969,3.084870187321604,2.0,0.01875
fixed_eta2,6.590625000000045,0.009375,52.42029153727802,51.33362960274053,0.05268347016620289,0.18672439498278737,1.2567672770040506,26.0,2.0,576.0,0.5886280999116259,4.039682929076802,0.002606788158889726,3.1742013831238163,2.0,0.01875
fixed_eta2,6.628125000000046,0.009375,53.546178011091854,52.43383973495924,0.05375134962023365,0.19119254609153402,1.2745994412063613,26.0,2.0,580.0,0.5880735605566657,4.061745941123563,0.0027079903102646377,3.265170174282161,2.0,0.01875
fixed_eta2,6.665625000000047,0.009375,54.678071842111336,53.53970786979819,0.05498541461034161,0.19567329902952002,1.292859840576636,26.0,2.0,584.0,0.5875703183488756,4.0837891074629455,0.0028337234453520614,3.357779677331886,2.0,0.01875
fixed_eta2,6.703125000000049,0.009375,55.81586987885906,54.651024369037714,0.056437823428305,0.2001835878463161,1.311578552463429,26.0,2.0,588.0,0.5871224415775481,4.105814428810709,0.0030020378033058176,3.4520323562936253,2.0,0.01875
