resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n512,28.668841877127594,10.984219897420818,11052,Z,0.0024421014825190407,0.014612466222141036,0.5625,-0.0625,same_level_seam,0.03125,7,18.0,4078.0,2.0,110.0
n512,28.679005495751774,10.986425082171,11056,C,0.15728926421266068,0.23988507855060645,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.679005495751774,10.986425082171,11056,H,0.11686476463948596,0.2155174941198097,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.679005495751774,10.986425082171,11056,M,0.030476322219159913,0.10481949954714988,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.679005495751774,10.986425082171,11056,Z,0.0024439644777882945,0.014689055830859065,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.68916782940998,10.988630797787696,11060,C,0.1565744437510426,0.23599524413086218,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.68916782940998,10.988630797787696,11060,H,0.11627104492701076,0.21196143701836667,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.68916782940998,10.988630797787696,11060,M,0.03034745529314834,0.10333212073133505,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.68916782940998,10.988630797787696,11060,Z,0.0024458298086484772,0.014747752475252751,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.699328875958926,10.990837047430075,11064,C,0.15586517067879999,0.2327691747133916,0.53125,0.21875,clean_interior,0.03125,7,17.0,4079.0,7.0,111.0
n512,28.699328875958926,10.990837047430075,11064,H,0.11568177736234662,0.20932270141685239,0.53125,-0.21875,clean_interior,0.03125,7,17.0,4079.0,7.0,111.0
n512,28.699328875958926,10.990837047430075,11064,M,0.030219674302825756,0.10168582467703943,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.699328875958926,10.990837047430075,11064,Z,0.002447697467986872,0.014786046528740831,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.70948863324384,10.993043834491257,11068,C,0.15516140244319576,0.23345040650755625,0.53125,-0.1875,clean_interior,0.03125,7,17.0,4079.0,6.0,111.0
n512,28.70948863324384,10.993043834491257,11068,H,0.11509693080499234,0.20994300103266528,0.53125,-0.1875,clean_interior,0.03125,7,17.0,4079.0,6.0,111.0
n512,28.70948863324384,10.993043834491257,11068,M,0.030092967867795375,0.10003294726971354,0.53125,0.21875,clean_interior,0.03125,7,17.0,4079.0,7.0,111.0
n512,28.70948863324384,10.993043834491257,11068,Z,0.0024495674470909564,0.01480384491888809,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.719647099098207,10.99525116259989,11072,C,0.15446309650492016,0.23411118296137254,0.53125,-0.15625,clean_interior,0.03125,7,17.0,4079.0,5.0,111.0
n512,28.719647099098207,10.99525116259989,11072,H,0.11451647393865223,0.21054403890531925,0.53125,-0.15625,clean_interior,0.03125,7,17.0,4079.0,5.0,111.0
n512,28.719647099098207,10.99525116259989,11072,M,0.029967324802666243,0.10028525598837808,0.53125,0.1875,clean_interior,0.03125,7,17.0,4079.0,6.0,111.0
n512,28.719647099098207,10.99525116259989,11072,Z,0.0024514397357103786,0.01480109128577593,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.729804271343543,10.99745903562169,11076,C,0.15377021032431046,0.23478890920235454,0.53125,0.125,clean_interior,0.03125,7,17.0,4079.0,4.0,111.0
n512,28.729804271343543,10.99745903562169,11076,H,0.11394037525096067,0.21116015566559132,0.53125,-0.125,clean_interior,0.03125,7,17.0,4079.0,4.0,111.0
n512,28.729804271343543,10.99745903562169,11076,M,0.029842734123317696,0.10055274803962942,0.53125,0.1875,clean_interior,0.03125,7,17.0,4079.0,6.0,111.0
n512,28.729804271343543,10.99745903562169,11076,Z,0.0024533143221330484,0.01477776588676868,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.739960147789155,10.999667457660898,11080,C,0.1530827013509073,0.23547545972765763,0.53125,-0.09375,same_level_seam,0.03125,7,17.0,4079.0,3.0,111.0
n512,28.739960147789155,10.999667457660898,11080,H,0.1133686030174241,0.21178412885429077,0.53125,-0.09375,same_level_seam,0.03125,7,17.0,4079.0,3.0,111.0
n512,28.739960147789155,10.999667457660898,11080,M,0.029719185052230382,0.1008292949026787,0.53125,0.15625,clean_interior,0.03125,7,17.0,4079.0,5.0,111.0
n512,28.739960147789155,10.999667457660898,11080,Z,0.0024551911932743494,0.014733885435002658,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.75011472623192,11.001876433061696,11084,C,0.15240052701913115,0.23614087619000804,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.75011472623192,11.001876433061696,11084,H,0.11280112529233281,0.2123897893660449,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.75011472623192,11.001876433061696,11084,M,0.0295966670229203,0.10109035648323333,0.53125,0.125,clean_interior,0.03125,7,17.0,4079.0,4.0,111.0
n512,28.75011472623192,11.001876433061696,11084,Z,0.0024570703347773933,0.014669502872683992,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.760268004456034,11.004085966409528,11088,C,0.15172364474635933,0.2366444902473972,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.760268004456034,11.004085966409528,11088,H,0.11223790990290024,0.21284627795594502,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.760268004456034,11.004085966409528,11088,M,0.02947516968350794,0.10135979278281257,0.53125,0.0625,same_level_seam,0.03125,7,17.0,4079.0,2.0,111.0
n512,28.760268004456034,11.004085966409528,11088,Z,0.0024589517311223714,0.014584707080215779,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
