variable,region,difference_128_256_rms,difference_256_512_rms,observed_order_rms,geometry,family
z4c_betay,outer_or_nearest,1.4185425874873007e-06,8.112761292183851e-07,0.8061445192060095,cc_base,state
z4c_betaz,full,0.0,0.0,,cc_base,state
z4c_betaz,axis_or_nearest,0.0,0.0,,cc_base,state
z4c_betaz,core_r8,0.0,0.0,,cc_base,state
z4c_betaz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_betaz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_Bx,full,7.43765679659237e-05,3.1058487885146196e-05,1.2598605854091312,cc_base,state
z4c_Bx,axis_or_nearest,6.363083846673331e-07,2.6647968213364555e-07,1.2557005939509636,cc_base,state
z4c_Bx,core_r8,0.00013603713721041652,5.6906915051856736e-05,1.2573246735588421,cc_base,state
z4c_Bx,core_r8_mb_interior,0.000141779819372496,5.930918389447736e-05,1.2573247718706444,cc_base,state
z4c_Bx,outer_or_nearest,2.3452478143882315e-05,9.71287491964968e-06,1.2717700873567594,cc_base,state
z4c_By,full,8.632041991297683e-05,3.608923390818911e-05,1.2581333645074646,cc_base,state
z4c_By,axis_or_nearest,8.838642464933272e-05,3.6923334226092954e-05,1.2592919656559591,cc_base,state
z4c_By,core_r8,0.00017056636332853206,7.13350035929866e-05,1.2576510909106586,cc_base,state
z4c_By,core_r8_mb_interior,0.00017494289863725956,7.316794035525474e-05,1.2576005499042258,cc_base,state
