case,axis,offset,h,var,state,rhs
0,0,1,0.125,27,0.0027499999999999998,-0.020903734374999983
0,0,1,0.125,28,-0.014500000000000001,0.020920003169921868
0,0,1,0.125,29,0.0072500000000000004,0.0084720937499999996
0,0,1,0.125,30,0.013500000000000002,-0.022302074955078133
0,0,1,0.125,31,0.0090000000000000011,-0.013447711216796863
0,0,1,0.125,32,-0.0082500000000000004,0.0054897968750000047
0,0,1,0.125,33,0.010750000000000001,0.001277109375
0,0,1,0.125,34,-0.0065000000000000006,0.0054750075332031141
0,0,1,0.125,35,0.01525,-0.013193671874999998
0,0,1,0.125,36,-0.0025000000000000005,0.0085097262832031176
0,0,1,0.125,37,0.017000000000000001,-0.019207115773925792
0,0,1,0.125,38,-0.00025000000000000001,0.004153953125000001
0,0,1,0.125,39,-0.017500000000000002,-0.0041749687500000007
0,0,1,0.125,40,0.0042500000000000003,-0.0081186313989257807
0,0,1,0.125,41,-0.01575,0.024223171874999994
0,0,1,0.125,42,-0.021250000000000002,0.028360712351074225
0,0,1,0.125,43,-0.01125,0.052175031249999629
0,0,1,0.125,44,0.0077499999999999999,-0.10448990625000031
0,0,1,0.125,45,-0.0094999999999999998,0.044904187500000255
0,0,1,0.125,46,0.01225,-0.035122687499999937
0,0,1,0.125,47,-0.0050000000000000001,0.0053620625000000083
0,0,1,0.125,48,0.014,-0.038201499999999979
0,0,1,0.125,49,-0.0032500000000000003,-0.00034918750000000141
0,0,1,0.125,50,0.018499999999999999,-0.036295999999999988
0,0,1,0.125,51,0.00125,-0.015912625000000007
0,0,1,0.125,52,-0.018749999999999999,0.052411187500000053
0,0,1,0.125,53,0.0030000000000000001,-0.023142187500000019
0,0,1,0.125,54,-0.014250000000000001,0.048008562500000011
0,1,-1,0.125,0,0.255,-0.0029051875468749794
