receiver_gid,fine_j,fine_i,rho,z,variable,current,preserved,difference,captured,current_minus_captured,distance_to_known_seam
8,0,36,2.03125,-8.21875,Ayy,-0.0034369223554123938,-0.0034369236741025907,1.3186901969691744e-09,-0.0034369223554123938,0,8.7323762247884158
8,0,36,2.03125,-8.21875,Azz,0.0017467705558763509,0.0017467647399346117,5.8159417392743967e-09,0.0017467705558763512,-2.1684043449710089e-19,8.7323762247884158
8,0,36,2.03125,-8.21875,Gamx,-0.00084750730283255726,-0.00084750964134301156,2.3385104542909818e-09,-0.00084750730283255726,0,8.7323762247884158
8,0,36,2.03125,-8.21875,Gamy,-0.0081996658430377057,-0.008199670078672127,4.2356344213262398e-09,-0.0081996658430377074,1.7347234759768071e-18,8.7323762247884158
8,0,36,2.03125,-8.21875,Theta,-8.6342174645201845e-05,-8.6337503544038697e-05,-4.6711011631480996e-09,-8.6342174645201832e-05,-1.3552527156068805e-20,8.7323762247884158
8,0,36,2.03125,-8.21875,alpha,0.77666601671503066,0.77666601671239499,2.6356694604601216e-12,0.77666601671503066,0,8.7323762247884158
8,0,36,2.03125,-8.21875,betax,-0.00039092441303738274,-0.00039092434131778422,-7.171959852175433e-11,-0.00039092441303738279,5.4210108624275222e-20,8.7323762247884158
8,0,36,2.03125,-8.21875,betay,-0.0036554245940155984,-0.0036554245108500381,-8.3165560375852987e-11,-0.0036554245940155984,0,8.7323762247884158
8,0,36,2.03125,-8.21875,Bx,0.0004880399066808354,0.00048803990224834055,4.4324948442545087e-12,0.0004880399066808354,0,8.7323762247884158
8,0,36,2.03125,-8.21875,By,-0.0030018161182327652,-0.0030018161195363375,1.3035722674914485e-12,-0.0030018161182327652,0,8.7323762247884158
8,0,37,2.09375,-8.21875,chi,0.59769951068041793,0.59769951026434631,4.1607162160062217e-10,0.59769951068041793,0,8.710541610959103
8,0,37,2.09375,-8.21875,gxx,0.99271264441647222,0.99271264534924908,-9.3277685575543501e-10,0.99271264441647222,0,8.710541610959103
8,0,37,2.09375,-8.21875,gxy,-0.0065068536418500713,-0.0065068532592377987,-3.826122725938963e-10,-0.0065068536418500722,8.6736173798840355e-19,8.710541610959103
8,0,37,2.09375,-8.21875,gyy,1.0158523488394491,1.0158523486063822,2.3306689911350986e-10,1.0158523488394493,-2.2204460492503131e-16,8.710541610959103
8,0,37,2.09375,-8.21875,gzz,0.99166295819072292,0.99166295748039823,7.1032468795806381e-10,0.99166295819072292,0,8.710541610959103
8,0,37,2.09375,-8.21875,Khat,-0.001627061375168282,-0.0016270512159018713,-1.0159266410764145e-08,-0.001627061375168282,0,8.710541610959103
8,0,37,2.09375,-8.21875,Axx,0.0015970190231412776,0.0015970272298273761,-8.2066860984837675e-09,0.0015970190231412776,0,8.710541610959103
8,0,37,2.09375,-8.21875,Axy,0.00053901928066373353,0.00053902807734134263,-8.7966776091000579e-09,0.00053901928066373353,0,8.710541610959103
8,0,37,2.09375,-8.21875,Ayy,-0.003428435991009917,-0.0034284370098447091,1.0188347921401275e-09,-0.0034284359910099174,4.3368086899420177e-19,8.710541610959103
8,0,37,2.09375,-8.21875,Azz,0.0017446717783790285,0.0017446644440727731,7.3343062554232646e-09,0.0017446717783790287,-2.1684043449710089e-19,8.710541610959103
8,0,37,2.09375,-8.21875,Gamx,-0.00085681495569704647,-0.00085681749740605803,2.5417090115551974e-09,-0.00085681495569704647,0,8.710541610959103
8,0,37,2.09375,-8.21875,Gamy,-0.0082227845995125979,-0.0082227917768316911,7.1773190932211683e-09,-0.0082227845995125979,0,8.710541610959103
