resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n512,3.752283948003244,2.3114618478121076,shell_8_12,H,2.503405321349313e-07,10675.46374711551,7.527330213573001e-10,6.99886804795824e-05,8.0625,-3.3125,8.0,-3.34375,0.007082495547056922
n512,3.752283948003244,2.3114618478121076,shell_8_12,M,1.4270851054656189e-07,10675.46374711551,5.83282018283294e-10,5.423227614778091e-05,8.5625,-1.1875,7.625,2.4375,0.01088613186427189
n512,3.752283948003244,2.3114618478121076,shell_8_12,Z,1.9434223596641523e-08,10675.46374711551,1.7793164800907884e-10,1.84137206811304e-05,8.9375,-0.0625,8.9375,0.0,0.0003212130789079382
n512,3.752283948003244,2.3114618478121076,shell_12_16,C,0.00013346062534740473,17059.08911813184,7.386929558431383e-08,0.00036476616738071246,15.9375,0.0625,16.0,0.0,0.45765379923108673
n512,3.752283948003244,2.3114618478121076,shell_12_16,H,2.356262614415953e-05,17059.08911813184,9.84779186407894e-09,0.00016463565407320857,15.9375,0.0625,16.0,0.0,0.6666207558152384
n512,3.752283948003244,2.3114618478121076,shell_12_16,M,5.6590511023467884e-06,17059.08911813184,1.4948434360760494e-09,4.888299527192907e-05,15.6875,3.125,15.625,-3.4375,0.43168537244805916
n512,3.752283948003244,2.3114618478121076,shell_12_16,Z,2.5863481162600492e-05,17059.08911813184,1.5621305732845957e-08,0.00016049925549103383,15.9375,-0.0625,16.0,0.0,0.4274772477636841
n512,3.752283948003244,2.3114618478121076,shell_gt_16,C,0.00015627205453441965,13122.392196201432,1.1881198903003573e-07,0.0006581675614203892,15.875,16.0,15.875,16.0,0.5358771494225991
n512,3.752283948003244,2.3114618478121076,shell_gt_16,H,1.1022891405821669e-05,13122.392196201432,1.180981140639922e-07,0.0006561873015016317,15.875,16.0,15.875,16.0,0.31185353259273724
n512,3.752283948003244,2.3114618478121076,shell_gt_16,M,6.781450285371734e-06,13122.392196201432,2.0359565616288436e-09,5.7976544386684727e-05,15.9375,4.25,16.0,-4.3125,0.5173045514582276
n512,3.752283948003244,2.3114618478121076,shell_gt_16,Z,3.454006019989682e-05,13122.392196201432,1.5223916972310524e-08,0.00016049590194435332,15.9375,1.4375,16.0,0.0625,0.5708856351941788
n512,4.003185900252791,2.466110666621226,shell_0_4,C,9.136673266404382e-08,1071.755045521266,3.2679928887430577e-10,5.447198912042352e-05,3.84375,-0.03125,3.84375,0.0,0.0002568978171818779
n512,4.003185900252791,2.466110666621226,shell_0_4,H,5.160453078144068e-08,1071.755045521266,2.588829079761124e-10,4.85006021335721e-05,3.84375,-0.03125,3.84375,0.0,0.0012952184879239054
n512,4.003185900252791,2.466110666621226,shell_0_4,M,1.6353780156153116e-08,1071.755045521266,6.241542011197699e-11,2.3731464127027505e-05,3.875,-0.0625,3.84375,0.0,0.0011138596304157366
n512,4.003185900252791,2.466110666621226,shell_0_4,Z,4.910655891164457e-09,1071.755045521266,1.0545325619890903e-11,1.00965057876564e-05,3.65625,-0.03125,3.625,0.0,6.555043554001659e-05
n512,4.003185900252791,2.466110666621226,shell_4_8,C,1.4383733696523163e-06,5735.554865834244,2.260497719080877e-09,0.00012867033877953473,7.21875,-0.875,7.21875,-0.875,0.004044305494812121
n512,4.003185900252791,2.466110666621226,shell_4_8,H,5.48684156395949e-07,5735.554865834244,7.823198699542017e-10,7.569524314021692e-05,7.21875,-0.875,7.21875,-0.875,0.013771385043782865
