family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,7,5,5.1171875,-0.9140625,INTERIOR,-2.3034602894086986e-05,2.3034602894086986e-05
C,28,8,5,5.1328125,-0.9140625,INTERIOR,-2.3687641969612552e-05,2.3687641969612552e-05
C,28,9,5,5.1484375,-0.9140625,INTERIOR,-2.5042256812303487e-05,2.5042256812303487e-05
C,28,10,5,5.1640625,-0.9140625,INTERIOR,-3.8094848532751677e-06,3.8094848532751677e-06
C,28,11,5,5.1796875,-0.9140625,INTERIOR,-1.0976826079665391e-05,1.0976826079665391e-05
C,28,12,5,5.1953125,-0.9140625,INTERIOR,5.433417258450882e-06,5.433417258450882e-06
C,28,13,5,5.2109375,-0.9140625,INTERIOR,-3.6991240310799145e-06,3.6991240310799145e-06
C,28,14,5,5.2265625,-0.9140625,INTERIOR,-7.678645814215151e-06,7.678645814215151e-06
C,28,15,5,5.2421875,-0.9140625,INTERIOR,-1.5457881143183562e-05,1.5457881143183562e-05
C,28,16,5,5.2578125,-0.9140625,INTERIOR,-1.4116665607626089e-05,1.4116665607626089e-05
C,28,17,5,5.2734375,-0.9140625,INTERIOR,-1.099287471436304e-05,1.099287471436304e-05
C,28,18,5,5.2890625,-0.9140625,INTERIOR,-6.27997480977683e-06,6.27997480977683e-06
C,28,19,5,5.3046875,-0.9140625,INTERIOR,5.246544993803108e-06,5.246544993803108e-06
C,28,20,5,5.3203125,-0.9140625,INTERIOR,8.709526021204866e-07,8.709526021204866e-07
C,28,21,5,5.3359375,-0.9140625,INTERIOR,2.4049712794834387e-05,2.4049712794834387e-05
C,28,22,5,5.3515625,-0.9140625,INTERIOR,1.249219019125664e-05,1.249219019125664e-05
C,28,23,5,5.3671875,-0.9140625,INTERIOR,3.1498467824822747e-06,3.1498467824822747e-06
C,28,24,5,5.3828125,-0.9140625,INTERIOR,-6.602801254635207e-06,6.602801254635207e-06
C,28,25,5,5.3984375,-0.9140625,INTERIOR,-1.370989287387877e-05,1.370989287387877e-05
C,28,26,5,5.4140625,-0.9140625,INTERIOR,-1.1834512666616254e-05,1.1834512666616254e-05
C,28,27,5,5.4296875,-0.9140625,INTERIOR,-7.839136335764663e-06,7.839136335764663e-06
C,28,28,5,5.4453125,-0.9140625,MESHBLOCK_EDGE_OR_CORNER,1.0382861948734362e-06,1.0382861948734362e-06
C,28,29,5,5.4609375,-0.9140625,MESHBLOCK_EDGE_OR_CORNER,2.1064155590664376e-05,2.1064155590664376e-05
C,28,30,5,5.4765625,-0.9140625,MESHBLOCK_EDGE_OR_CORNER,3.138038865101297e-05,3.138038865101297e-05
C,28,31,5,5.4921875,-0.9140625,MESHBLOCK_EDGE_OR_CORNER,2.3076508034676306e-05,2.3076508034676306e-05
C,28,0,6,5.0078125,-0.8984375,COARSE_FINE_INTERFACE,3.2939325217972836e-05,3.2939325217972836e-05
C,28,1,6,5.0234375,-0.8984375,COARSE_FINE_INTERFACE,2.749307897455689e-05,2.749307897455689e-05
