region,family,variable,rms_order,ring_rms_order,linf_order
axis,constraints,con_My,-1.7613023471878526,,-1.224866530155727
axis,constraints,con_Mz,,,
same_level,state,state_z4c_chi,-0.5596051003260746,-0.5598619642691821,-0.5044823932909286
same_level,state,state_z4c_gxx,-0.5666130353210239,-0.5679976534107828,-0.5263181617388824
same_level,state,state_z4c_gxy,0.639392225817388,0.1699915922899579,0.701232506524174
same_level,state,state_z4c_gxz,,,
same_level,state,state_z4c_gyy,-0.5602982578284915,-0.5581663686204625,-0.5207164690943378
same_level,state,state_z4c_gyz,,,
same_level,state,state_z4c_gzz,-0.546242984864366,-0.5484438113164934,-0.49384923831090966
same_level,state,state_z4c_Khat,2.1540508063936064,1.8629009286459417,2.755566681253848
same_level,state,state_z4c_Axx,0.2155999982970341,-0.12094843682727109,1.3690353501825192
same_level,state,state_z4c_Axy,2.9360187381710894,2.82317137114605,2.8788527469866003
same_level,state,state_z4c_Axz,,,
same_level,state,state_z4c_Ayy,0.6090570956848534,0.3488786197908795,2.2668829247125877
same_level,state,state_z4c_Ayz,,,
same_level,state,state_z4c_Azz,0.14841630306099143,-0.11083419688369035,2.114375726677134
same_level,state,state_z4c_Gamx,-0.22803518672671455,-0.3149070031787024,0.40150439673489374
same_level,state,state_z4c_Gamy,-0.22986501302115203,-0.2662641462511138,-0.2571255589818665
same_level,state,state_z4c_Gamz,,,
same_level,state,state_z4c_Theta,-0.19777181931782398,-0.46866741891300595,1.6470729534674098
same_level,state,state_z4c_alpha,2.895523438966834,2.8269165566314944,2.765038254577739
